test_year,all_component_records,matched_component_records,match_rate,matched_damage_records,matched_operations
2000,5648,3228,0.5715297450424929,404,109408023
2001,5379,3061,0.5690648819483175,343,97321248
2002,5710,3350,0.5866900175131349,375,102936755
2003,5953,3556,0.597345876028893,321,101363589
2004,6550,3949,0.6029007633587786,308,120128231
2005,6927,4037,0.5827919734372744,317,119288970
2006,6752,4275,0.6331457345971564,341,121907116
2007,6847,4530,0.6616036220242442,317,124696868
2008,6390,4255,0.6658841940532081,323,112484988
2009,8623,5681,0.6588194363910472,344,142814871
2010,8342,5400,0.6473267801486454,336,139277860
2011,8464,5459,0.6449669187145558,305,140126412
2012,9097,5643,0.6203143893591294,336,138459713
2013,9153,5455,0.5959794602862449,303,134612859
2014,11268,6853,0.6081824636137735,330,172867710
2015,11011,6488,0.5892289528653165,279,165212707
2016,10452,6209,0.5940489858400306,304,156243688
2017,11128,6358,0.5713515456506111,346,163938764
2018,12760,7295,0.5717084639498433,358,185889352
2019,13667,7520,0.5502304821833613,332,200168027
2020,8269,4260,0.5151771677349135,213,68733021
2021,11800,6401,0.5424576271186441,303,145507928
2022,13370,7407,0.5540014958863126,337,178979613
2023,15753,8788,0.5578619945407224,355,222233469
2024,17957,9582,0.5336080637077463,344,259331473
2025,19970,10478,0.5246870305458188,390,288392285
