airport_id,year,candidate_component_records,matched_component_records,weather_observations
DEN,2000,144,43,8566
DEN,2001,172,34,8653
DEN,2002,140,42,8686
DEN,2003,159,46,8696
DEN,2004,211,90,8716
DEN,2005,227,106,8692
DEN,2006,198,133,8712
DEN,2007,193,158,8715
DEN,2008,199,168,8756
DEN,2009,243,196,8717
DEN,2010,188,163,8707
DEN,2011,217,192,8709
DEN,2012,211,190,8756
DEN,2013,186,171,8719
DEN,2014,259,231,8727
DEN,2015,230,211,8707
DEN,2016,241,232,8756
DEN,2017,212,205,8727
DEN,2018,225,221,8714
DEN,2019,223,208,8722
DEN,2020,172,158,8723
DEN,2021,261,252,8707
DEN,2022,363,346,8728
DEN,2023,390,339,8735
DEN,2024,504,497,8757
DEN,2025,558,547,8729
DFW,2000,162,105,8736
DFW,2001,165,90,8663
DFW,2002,193,106,8584
DFW,2003,120,82,8732
DFW,2004,134,95,8739
DFW,2005,118,92,8735
DFW,2006,124,92,8732
DFW,2007,124,99,8734
DFW,2008,112,95,8758
DFW,2009,182,159,8733
DFW,2010,135,120,8735
DFW,2011,206,193,8819
DFW,2012,178,169,8759
DFW,2013,207,199,8732
DFW,2014,249,236,8732
DFW,2015,261,247,8732
DFW,2016,199,186,8758
DFW,2017,162,155,8735
DFW,2018,161,155,8734
DFW,2019,223,203,8731
DFW,2020,117,111,8757
DFW,2021,181,166,8732
DFW,2022,141,140,8733
DFW,2023,263,212,8735
DFW,2024,320,307,8762
DFW,2025,327,313,8727
ORD,2000,142,22,8581
ORD,2001,133,18,8696
ORD,2002,128,24,8713
ORD,2003,130,30,8733
ORD,2004,153,32,8745
ORD,2005,125,44,8720
ORD,2006,131,44,3627
ORD,2007,91,70,8669
ORD,2008,87,62,8741
ORD,2009,136,111,8729
ORD,2010,184,165,8725
ORD,2011,101,93,8735
ORD,2012,125,114,8750
ORD,2013,129,117,8713
ORD,2014,192,156,8714
ORD,2015,177,168,8710
ORD,2016,161,154,8753
ORD,2017,155,138,8723
ORD,2018,146,141,8714
ORD,2019,179,168,8731
ORD,2020,120,109,8740
ORD,2021,177,173,8728
ORD,2022,176,174,8726
ORD,2023,211,180,8736
ORD,2024,279,270,8754
ORD,2025,317,314,8733
JFK,2000,76,46,8716
JFK,2001,62,36,8731
JFK,2002,60,36,8724
JFK,2003,54,35,8728
JFK,2004,65,35,8752
JFK,2005,62,35,8735
JFK,2006,103,79,8722
JFK,2007,123,98,8731
JFK,2008,91,83,8754
JFK,2009,108,98,8730
JFK,2010,153,144,8733
JFK,2011,177,166,8737
JFK,2012,115,109,8755
JFK,2013,117,115,8733
JFK,2014,141,141,8734
JFK,2015,129,124,8735
JFK,2016,142,137,8758
JFK,2017,127,124,8734
JFK,2018,163,158,8734
JFK,2019,174,168,8735
JFK,2020,74,64,8757
JFK,2021,182,181,8734
JFK,2022,182,178,8732
JFK,2023,198,196,8735
JFK,2024,185,183,8761
JFK,2025,199,195,8733
MEM,2000,86,51,8530
MEM,2001,68,38,8620
MEM,2002,105,97,8431
MEM,2003,153,139,8680
MEM,2004,175,162,8704
MEM,2005,211,193,8648
MEM,2006,170,154,8648
MEM,2007,187,174,8642
MEM,2008,173,157,8633
MEM,2009,221,210,8713
MEM,2010,191,174,8639
MEM,2011,165,161,8628
MEM,2012,203,198,8750
MEM,2013,142,133,8716
MEM,2014,195,177,8732
MEM,2015,215,205,8699
MEM,2016,203,193,8754
MEM,2017,244,236,8705
MEM,2018,220,217,8718
MEM,2019,169,152,8726
MEM,2020,162,142,8741
MEM,2021,168,156,8725
MEM,2022,230,208,8729
MEM,2023,271,237,8732
MEM,2024,221,218,8749
MEM,2025,237,235,8734
SLC,2000,41,33,8682
SLC,2001,43,34,8683
SLC,2002,41,30,8667
SLC,2003,110,92,8710
SLC,2004,119,105,8700
SLC,2005,79,56,6984
SLC,2006,163,148,8722
SLC,2007,102,57,6216
SLC,2008,85,69,8500
SLC,2009,121,107,8701
SLC,2010,122,114,8622
SLC,2011,85,83,8429
SLC,2012,102,98,8727
SLC,2013,112,0,0
SLC,2014,129,118,8671
SLC,2015,138,116,8696
SLC,2016,124,118,7799
SLC,2017,118,107,8735
SLC,2018,156,154,8706
SLC,2019,135,121,8732
SLC,2020,84,78,8758
SLC,2021,131,131,8735
SLC,2022,139,132,8731
SLC,2023,145,127,8739
SLC,2024,212,209,8760
SLC,2025,197,195,8732
DTW,2000,55,8,8573
DTW,2001,42,7,8624
DTW,2002,46,17,8644
DTW,2003,36,12,8725
DTW,2004,50,16,8723
DTW,2005,44,19,8605
DTW,2006,77,62,8720
DTW,2007,95,61,5821
DTW,2008,76,57,8716
DTW,2009,127,111,8727
DTW,2010,74,73,8719
DTW,2011,48,46,8767
DTW,2012,48,42,8751
DTW,2013,68,68,8712
DTW,2014,55,52,8725
DTW,2015,77,72,8712
DTW,2016,63,62,8754
DTW,2017,81,79,8726
DTW,2018,100,97,8713
DTW,2019,103,101,8727
DTW,2020,74,73,8731
DTW,2021,122,120,8720
DTW,2022,133,131,8720
DTW,2023,143,126,8736
DTW,2024,160,158,8758
DTW,2025,168,167,8724
ATL,2000,61,13,8695
ATL,2001,42,19,8711
ATL,2002,55,27,8672
ATL,2003,49,39,8724
ATL,2004,51,13,5546
ATL,2005,56,43,8211
ATL,2006,53,36,7992
ATL,2007,56,44,8700
ATL,2008,63,46,8707
ATL,2009,71,59,8726
ATL,2010,75,65,8720
ATL,2011,58,52,8732
ATL,2012,70,65,8753
ATL,2013,60,54,8716
ATL,2014,102,98,8726
ATL,2015,146,120,8711
ATL,2016,109,106,8756
ATL,2017,168,164,8728
ATL,2018,184,178,8718
ATL,2019,185,179,8729
ATL,2020,72,65,8748
ATL,2021,167,166,8728
ATL,2022,174,170,8728
ATL,2023,200,167,8734
ATL,2024,240,235,8753
ATL,2025,259,256,8725
SMF,2000,54,24,8689
SMF,2001,65,29,8677
SMF,2002,87,53,8687
SMF,2003,123,98,8699
SMF,2004,159,100,8746
SMF,2005,148,111,8730
SMF,2006,124,94,8714
SMF,2007,130,109,8736
SMF,2008,187,161,8751
SMF,2009,237,223,8734
SMF,2010,245,232,8729
SMF,2011,184,174,8736
SMF,2012,190,175,8754
SMF,2013,192,177,8734
SMF,2014,146,137,8734
SMF,2015,195,179,8733
SMF,2016,118,112,8750
SMF,2017,165,156,8735
SMF,2018,169,165,8733
SMF,2019,161,145,8735
SMF,2020,110,98,8759
SMF,2021,127,126,8734
SMF,2022,135,127,8731
SMF,2023,229,203,8735
SMF,2024,269,267,8752
SMF,2025,260,253,8726
MCO,2000,35,15,8661
MCO,2001,42,13,8729
MCO,2002,31,11,8696
MCO,2003,55,34,8703
MCO,2004,67,39,8720
MCO,2005,78,54,8710
MCO,2006,85,64,8722
MCO,2007,114,74,8679
MCO,2008,107,78,8721
MCO,2009,119,90,8720
MCO,2010,140,95,8720
MCO,2011,133,71,8630
MCO,2012,143,112,8637
MCO,2013,128,88,8730
MCO,2014,192,177,8728
MCO,2015,127,93,8726
MCO,2016,137,111,8758
MCO,2017,132,104,8719
MCO,2018,145,123,8733
MCO,2019,217,160,8724
MCO,2020,94,39,8752
MCO,2021,174,148,8729
MCO,2022,227,221,8725
MCO,2023,270,220,8738
MCO,2024,253,247,8757
MCO,2025,278,265,8706
IAH,2000,19,3,8669
IAH,2001,34,11,8726
