test_year,dimension,stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
1995,species,known species,hierarchical_review_rule,0.05,1209,331,61,45,0.13595166163141995,0.7377049180327869,0.2737799834574028,2.6945173592194545,0.13185398306018403,0.47756703727926747,6100111.0,46264139.0,3651.0,7645.0
1995,species,known species,hierarchical_review_rule,0.1,1209,331,121,92,0.27794561933534745,0.7603305785123967,0.2737799834574028,2.7771591221192984,0.4421914347092896,0.5022890778286462,20457606.0,46264139.0,3840.0,7645.0
1995,species,unknown species,hierarchical_review_rule,0.05,1364,257,69,45,0.17509727626459143,0.6521739130434783,0.18841642228739003,3.4613432583319237,0.7801642969086172,0.4665589660743134,3348739.0,4292351.0,722.0,1547.5
1995,species,unknown species,hierarchical_review_rule,0.1,1364,257,137,82,0.31906614785992216,0.5985401459854015,0.18841642228739003,3.176687778692948,0.8013018972586352,0.5441033925686591,3439469.0,4292351.0,842.0,1547.5
1995,size,known size,hierarchical_review_rule,0.05,2567,587,129,98,0.16695059625212946,0.7596899224806202,0.22867160109076742,3.3221874463505148,0.1758077548500697,0.48191460429698124,8888223.0,50556490.0,4430.0,9192.5
1995,size,known size,hierarchical_review_rule,0.1,2567,587,257,171,0.29131175468483816,0.6653696498054474,0.22867160109076742,2.9097170205291034,0.4876532765625145,0.5132444927930379,24654038.0,50556490.0,4718.0,9192.5
1995,airport,United States airport,hierarchical_review_rule,0.05,2388,512,120,91,0.177734375,0.7583333333333333,0.21440536013400335,3.5369140624999997,0.17750125918051923,0.49215882549215884,8937930.0,50354178.0,4425.0,8991.0
1995,airport,United States airport,hierarchical_review_rule,0.1,2388,512,239,156,0.3046875,0.6527196652719666,0.21440536013400335,3.0443253138075317,0.4886721614242218,0.5256367478589701,24606685.0,50354178.0,4726.0,8991.0
1995,airport,non-US or unknown airport,hierarchical_review_rule,0.05,185,76,10,9,0.11842105263157894,0.9,0.41081081081081083,2.1907894736842106,0.17148266044525287,0.02481389578163772,34693.0,202312.0,5.0,201.5
1995,airport,non-US or unknown airport,hierarchical_review_rule,0.1,185,76,19,15,0.19736842105263158,0.7894736842105263,0.41081081081081083,1.9217451523545706,0.17148266044525287,0.02481389578163772,34693.0,202312.0,5.0,201.5
1995,source,FAA source,hierarchical_review_rule,0.05,1798,285,90,60,0.21052631578947367,0.6666666666666666,0.1585094549499444,4.205847953216374,0.37792629099265657,0.2953087661929317,3120859.0,8257851.0,1174.0,3975.5
1995,source,FAA source,hierarchical_review_rule,0.1,1798,285,180,104,0.3649122807017544,0.5777777777777777,0.1585094549499444,3.645068226120857,0.4823039311317194,0.5599295686077223,3982794.0,8257851.0,2226.0,3975.5
1995,source,operator or pilot source,hierarchical_review_rule,0.05,156,15,8,4,0.26666666666666666,0.5,0.09615384615384616,5.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1995,source,operator or pilot source,hierarchical_review_rule,0.1,156,15,16,8,0.5333333333333333,0.5,0.09615384615384616,5.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0
1995,source,other source,hierarchical_review_rule,0.05,589,286,30,24,0.08391608391608392,0.8,0.4855687606112054,1.6475524475524477,0.13019806618364246,0.5661426380368099,5507201.0,42298639.0,2953.0,5216.0
1995,source,other source,hierarchical_review_rule,0.1,589,286,59,49,0.17132867132867133,0.8305084745762712,0.4855687606112054,1.7103828375014816,0.144888727980113,0.6259585889570553,6128596.0,42298639.0,3265.0,5216.0
1995,period,1995-2008,hierarchical_review_rule,0.05,2573,588,129,98,0.16666666666666666,0.7596899224806202,0.22852701127089,3.3242894056847545,0.1758077548500697,0.48191460429698124,8888223.0,50556490.0,4430.0,9192.5
1995,period,1995-2008,hierarchical_review_rule,0.1,2573,588,258,172,0.2925170068027211,0.6666666666666666,0.22852701127089,2.9172335600907027,0.4876532765625145,0.5184661408757139,24654038.0,50556490.0,4766.0,9192.5
1996,species,known species,hierarchical_review_rule,0.05,1186,321,60,51,0.1588785046728972,0.85,0.2706576728499157,3.140498442367601,0.09490407682762833,0.5471675752547998,575238.0,6061257.0,9234.0,16876.0
1996,species,known species,hierarchical_review_rule,0.1,1186,321,119,89,0.2772585669781931,0.7478991596638656,0.2706576728499157,2.7632660540851854,0.20490832182169474,0.7070099549656317,1242002.0,6061257.0,11931.5,16876.0
1996,species,unknown species,hierarchical_review_rule,0.05,1347,255,68,48,0.18823529411764706,0.7058823529411765,0.18930957683741648,3.7287197231833913,0.15442489883055427,0.38261772853185594,733549.0,4750199.0,1105.0,2888.0
1996,species,unknown species,hierarchical_review_rule,0.1,1347,255,135,77,0.30196078431372547,0.5703703703703704,0.18930957683741648,3.0128976034858392,0.28307698266956816,0.4421745152354571,1344672.0,4750199.0,1277.0,2888.0
1996,size,known size,hierarchical_review_rule,0.05,2527,574,127,102,0.17770034843205576,0.8031496062992126,0.22714681440443213,3.535817169195314,0.17319452625067336,0.5474600283343453,1872485.0,10811456.0,10820.0,19764.0
1996,size,known size,hierarchical_review_rule,0.1,2527,574,253,179,0.3118466898954704,0.7075098814229249,0.22714681440443213,3.114769112117999,0.501038065548248,0.6932554138838292,5416951.0,10811456.0,13701.5,19764.0
1996,airport,United States airport,hierarchical_review_rule,0.05,2329,498,117,90,0.18072289156626506,0.7692307692307693,0.21382567625590382,3.597466790237875,0.16960459838384234,0.562554557485991,1800152.0,10613816.0,9989.0,17756.5
1996,airport,United States airport,hierarchical_review_rule,0.1,2329,498,233,160,0.321285140562249,0.6866952789699571,0.21382567625590382,3.2114724994398194,0.5206488410954175,0.6860023090136007,5526071.0,10613816.0,12181.0,17756.5
1996,airport,non-US or unknown airport,hierarchical_review_rule,0.05,204,78,11,10,0.1282051282051282,0.9090909090909091,0.38235294117647056,2.3776223776223775,0.2721007893139041,0.25653798256537985,53778.0,197640.0,515.0,2007.5
1996,airport,non-US or unknown airport,hierarchical_review_rule,0.1,204,78,21,15,0.19230769230769232,0.7142857142857143,0.38235294117647056,1.8681318681318684,0.46960635498886866,0.7748443337484433,92813.0,197640.0,1555.5,2007.5
1996,source,FAA source,hierarchical_review_rule,0.05,1650,255,83,55,0.21568627450980393,0.6626506024096386,0.15454545454545454,4.287739192062367,0.15637050405421005,0.4785785844775768,564837.0,3612171.0,4060.5,8484.5
1996,source,FAA source,hierarchical_review_rule,0.1,1650,255,165,94,0.3686274509803922,0.5696969696969697,0.15454545454545454,3.686274509803922,0.4242058307870807,0.5563674936649183,1532304.0,3612171.0,4720.5,8484.5
1996,source,operator or pilot source,hierarchical_review_rule,0.05,174,17,9,2,0.11764705882352941,0.2222222222222222,0.09770114942528736,2.2745098039215685,1.0,0.0,2611.0,2611.0,0.0,0.0
1996,source,operator or pilot source,hierarchical_review_rule,0.1,174,17,18,4,0.23529411764705882,0.2222222222222222,0.09770114942528736,2.2745098039215685,1.0,0.0,2611.0,2611.0,0.0,0.0
1996,source,other source,hierarchical_review_rule,0.05,668,297,34,30,0.10101010101010101,0.8823529411764706,0.44461077844311375,1.9845513963161023,0.10443713304229148,0.5942781104457752,751600.0,7196674.0,6699.0,11272.5
1996,source,other source,hierarchical_review_rule,0.1,668,297,67,57,0.1919191919191919,0.8507462686567164,0.44461077844311375,1.913462988089854,0.18759957724915705,0.6035928143712574,1350093.0,7196674.0,6804.0,11272.5
1996,period,1995-2008,hierarchical_review_rule,0.05,2533,576,127,102,0.17708333333333334,0.8031496062992126,0.2273983418870904,3.531906167979003,0.17319452625067336,0.5474600283343453,1872485.0,10811456.0,10820.0,19764.0
1996,period,1995-2008,hierarchical_review_rule,0.1,2533,576,254,179,0.3107638888888889,0.7047244094488189,0.2273983418870904,3.0990745297462814,0.501038065548248,0.6932554138838292,5416951.0,10811456.0,13701.5,19764.0
1997,species,known species,hierarchical_review_rule,0.05,1473,413,74,61,0.14769975786924938,0.8243243243243243,0.2803801765105227,2.940023558667627,0.03646051504644362,0.21775374863504407,409615.0,11234482.0,8176.0,37547.0
1997,species,known species,hierarchical_review_rule,0.1,1473,413,148,112,0.2711864406779661,0.7567567567567568,0.2803801765105227,2.6990380210719196,0.46793497021046454,0.3364583055903268,5257007.0,11234482.0,12633.0,37547.0
1997,species,unknown species,hierarchical_review_rule,0.05,1773,288,89,60,0.20833333333333334,0.6741573033707865,0.16243654822335024,4.150280898876405,0.7445655122489091,0.6863718411552346,2840816.0,3815401.0,3042.0,4432.0
1997,species,unknown species,hierarchical_review_rule,0.1,1773,288,178,105,0.3645833333333333,0.5898876404494382,0.16243654822335024,3.631495786516854,0.7799575981659594,0.7249548736462094,2975851.0,3815401.0,3213.0,4432.0
1997,size,known size,hierarchical_review_rule,0.05,3243,701,163,126,0.1797432239657632,0.7730061349693251,0.21615787850755475,3.5761182535028833,0.47702158216113705,0.2904547511851164,7179119.0,15049883.0,12193.0,41979.0
1997,size,known size,hierarchical_review_rule,0.1,3243,701,325,227,0.3238231098430813,0.6984615384615385,0.21615787850755475,3.231256446834193,0.7078045058556269,0.4316920364944377,10652375.0,15049883.0,18122.0,41979.0
1997,airport,United States airport,hierarchical_review_rule,0.05,2945,601,148,112,0.18635607321131448,0.7567567567567568,0.20407470288624788,3.7082340243737915,0.5007740585529604,0.26358406802976303,7285582.0,14548641.0,8431.0,31986.0
1997,airport,United States airport,hierarchical_review_rule,0.1,2945,601,295,204,0.33943427620632277,0.6915254237288135,0.20407470288624788,3.388589638737697,0.7737655359012571,0.41565059713624714,11257237.0,14548641.0,13295.0,31986.0
1997,airport,non-US or unknown airport,hierarchical_review_rule,0.05,301,100,16,12,0.12,0.75,0.33222591362126247,2.2575,0.7447799665630573,0.47593315320724505,373315.0,501242.0,4756.0,9993.0
1997,airport,non-US or unknown airport,hierarchical_review_rule,0.1,301,100,31,24,0.24,0.7741935483870968,0.33222591362126247,2.330322580645161,0.7635513384752275,0.47783448413889723,382724.0,501242.0,4775.0,9993.0
1997,source,FAA source,hierarchical_review_rule,0.05,2281,332,115,82,0.2469879518072289,0.7130434782608696,0.14555019728189392,4.898952331063383,0.14211306249801142,0.3481499875838093,419854.0,2954366.0,7010.0,20135.0
1997,source,FAA source,hierarchical_review_rule,0.1,2281,332,229,131,0.39457831325301207,0.5720524017467249,0.14555019728189392,3.930275687904456,0.6833747071283652,0.5708964489694561,2018939.0,2954366.0,11495.0,20135.0
1997,source,operator or pilot source,hierarchical_review_rule,0.05,199,24,10,4,0.16666666666666666,0.4,0.12060301507537688,3.316666666666667,0.16501677368303921,0.9915730337078652,40040.0,242642.0,353.0,356.0
1997,source,operator or pilot source,hierarchical_review_rule,0.1,199,24,20,9,0.375,0.45,0.12060301507537688,3.73125,0.17079071224272796,0.9971910112359551,41441.0,242642.0,355.0,356.0
1997,source,other source,hierarchical_review_rule,0.05,725,342,37,35,0.1023391812865497,0.9459459459459459,0.47172413793103446,2.0052947684526634,0.03774183365672236,0.19884565257866318,447047.0,11844867.0,4272.0,21484.0
1997,source,other source,hierarchical_review_rule,0.1,725,342,73,63,0.18421052631578946,0.863013698630137,0.47172413793103446,1.829488103821197,0.5676143936440992,0.2384565257866319,6723317.0,11844867.0,5123.0,21484.0
1997,period,1995-2008,hierarchical_review_rule,0.05,3246,701,163,126,0.1797432239657632,0.7730061349693251,0.2159581022797289,3.579426410999186,0.47702158216113705,0.2904547511851164,7179119.0,15049883.0,12193.0,41979.0
