dimension,stratum,budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture
airport,United States airport,0.05,31,223502,18397,11191,6131,0.33326085774854597,0.547850951657582,0.08231246252829952,6.655747317354618,0.616243972564503,0.6266187795432275
airport,United States airport,0.1,31,223502,18397,22364,9549,0.5190520193509811,0.42698086209980324,0.08231246252829952,5.187317314835584,0.8007932095319712,0.7695039999126105
airport,non-US or unknown airport,0.05,31,50336,4595,2536,1251,0.27225244831338413,0.49329652996845424,0.09128655435473618,5.4038246207817435,0.2831857457285297,0.5723957614895626
airport,non-US or unknown airport,0.1,31,50336,4595,5050,2002,0.4356909684439608,0.39643564356435645,0.09128655435473618,4.342760512395092,0.39768324141669004,0.7484210906614002
period,1995-2008,0.05,14,72754,10118,3644,2486,0.24570073136983595,0.6822173435784852,0.1390713912637106,4.905518938002482,0.48804952889447156,0.626704686504076
period,1995-2008,0.1,14,72754,10118,7280,4227,0.4177703103380115,0.5806318681318682,0.1390713912637106,4.175063345924682,0.7171498042475599,0.7431590011965067
period,2009-2019,0.05,11,113965,8134,5704,2976,0.36587164986476517,0.5217391304347826,0.0713727898916334,7.310056552741578,0.6629863692700709,0.612417571288158
period,2009-2019,0.1,11,113965,8134,11402,4584,0.563560363904598,0.40203473074899143,0.0713727898916334,5.632885184387608,0.7865156664944748,0.8013293042592488
period,2020-2025,0.05,6,87119,4740,4358,1961,0.4137130801687764,0.4499770536943552,0.05440833802040886,8.27036939679294,0.7933470804503455,0.6588209511849012
period,2020-2025,0.1,6,87119,4740,8713,2774,0.5852320675105486,0.3183748421898313,0.05440833802040886,5.851581830535003,0.8629473588115698,0.7576299331469117
size,known size,0.05,31,234377,21289,11734,6753,0.31720606886185354,0.5755070734617351,0.09083229156444532,6.335930356369068,0.5956006693036525,0.6288578378818697
size,known size,0.1,31,234377,21289,23451,10670,0.5011978016816196,0.45499125836851306,0.09083229156444532,5.00913552363366,0.7673287780956153,0.768965434625856
size,unknown size,0.05,16,39154,1651,1965,577,0.34948516050878253,0.29363867684478373,0.0421668284211064,6.963736373822327,0.2739514262370261,0.36288597015698887
size,unknown size,0.1,16,39154,1651,3922,770,0.4663840096910963,0.19632840387557368,0.0421668284211064,4.655991717349613,0.4109497781632664,0.5892617137648478
source,FAA source,0.05,31,184813,13011,9256,4383,0.3368688033202675,0.4735306828003457,0.0704008917121631,6.726202911411906,0.5608502554480395,0.5467944733783369
source,FAA source,0.1,31,184813,13011,18497,6706,0.5154100376604411,0.3625452776125858,0.0704008917121631,5.149725646869174,0.7275052213528034,0.7160545503785989
source,airport source,0.05,8,567,37,32,9,0.24324324324324326,0.28125,0.06525573192239859,4.309966216216217,0.0,0.6153846153846154
source,airport source,0.1,8,567,37,60,13,0.35135135135135137,0.21666666666666667,0.06525573192239859,3.3202702702702704,0.0,0.9743589743589743
source,operator or pilot source,0.05,30,17428,1203,883,308,0.25602660016625106,0.3488108720271801,0.06902685333945376,5.053263406225847,0.4617403804572174,0.46198708602374505
source,operator or pilot source,0.1,30,17428,1203,1755,446,0.370739817123857,0.25413105413105413,0.06902685333945376,3.6816259446350883,0.6007705679819303,0.5457196417413039
source,other source,0.05,31,70437,8709,3535,2197,0.25226776897462394,0.6214992927864215,0.12364240385024916,5.026586942932274,0.47416393909531285,0.48077445975948996
source,other source,0.1,31,70437,8709,7057,3564,0.40923182914226663,0.5050304662037693,0.12364240385024916,4.084605689286359,0.6221188775007757,0.7312793339028241
species,known species,0.05,31,171396,15733,8585,4775,0.30350219284306873,0.5562026790914385,0.09179327405540386,6.059296662146838,0.5314853083692125,0.5664318636237992
species,known species,0.1,31,171396,15733,17155,7614,0.48395093116379584,0.4438356164383562,0.09179327405540386,4.835164896400464,0.6981951801334957,0.7444131478279291
species,unknown species,0.05,31,102442,7259,5137,2353,0.3241493318638931,0.45804944520147944,0.07085960836375706,6.464182568581066,0.5682323634783758,0.5228959661061675
species,unknown species,0.1,31,102442,7259,10258,3500,0.4821600771456123,0.3411971144472607,0.07085960836375706,4.815114313019187,0.6939418491600076,0.7016451848096863
