score,budget_share,test_years,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,selected_event_cost,total_event_cost,event_cost_capture_rate,selected_event_aos,total_event_aos,event_aos_capture_rate,mean_annual_damage_lift,mean_annual_hard_lift
posterior_damage_gated_burden,0.05,31,273838,13706,22992,7439,0.3235473208072373,0.5427549978111776,6.46428945244508,55363,10290,0.1858642053356935,0.7507660878447395,3.71345996357184,699318092.0,1227700004.0,0.5696164288682368,732198.41,1154392.5900000003,0.6342715782678403,6.4100535486409225,3.6182547454260066
hierarchical_component_transition,0.05,31,273838,13706,22992,7423,0.32285142658315935,0.5415876258572888,6.450385885938946,55363,10124,0.18286581290753753,0.7386546038231432,3.6535538067251028,740858842.0,1227700004.0,0.6034526672527404,723270.8,1154392.5900000003,0.626537978730442,6.401309531163535,3.5596442667879407
posterior_tail_burden,0.05,31,273838,13706,22992,7401,0.3218945720250522,0.5399824894206917,6.431268481993014,55363,10300,0.18604483138558242,0.7514956953159201,3.7170687682011616,696469944.0,1227700004.0,0.5672965233614189,747617.06,1154392.5900000003,0.6476280829210797,6.377157499003155,3.6213120229353186
risk_guarded_tail_burden,0.05,31,273838,13706,22992,7401,0.3218945720250522,0.5399824894206917,6.431268481993014,55363,10300,0.18604483138558242,0.7514956953159201,3.7170687682011616,696469944.0,1227700004.0,0.5672965233614189,747617.06,1154392.5900000003,0.6476280829210797,6.377157499003155,3.6213120229353186
posterior_expected_burden,0.05,31,273838,13706,22992,7257,0.3156315240083507,0.5294761418356924,6.306136383437819,55363,10546,0.19048823221284975,0.7694440391069605,3.805845362082471,710213083.0,1227700004.0,0.5784907393386308,758508.21,1154392.5900000003,0.6570626116025223,6.249496310794766,3.695636949828783
component_phase_size_mass_rate,0.05,31,273838,13706,22992,7093,0.30849860821155184,0.5175105793083321,6.163624826749959,55363,9733,0.17580333435688095,0.7101269516999854,3.5124495457186313,740483717.0,1227700004.0,0.6031471162233538,665275.5099999999,1154392.5900000003,0.5762991860507349,6.113765331517278,3.4171885509067423
posterior_event_tail_burden,0.05,31,273838,13706,22992,6965,0.3029314544189283,0.5081716036772217,6.052396294700897,55363,10635,0.19209580405686108,0.7759375456004669,3.837963723283432,686116341.0,1227700004.0,0.5588631903270728,747378.3900000001,1154392.5900000003,0.6474213334997238,6.006278791972602,3.716134695089691
component_phase_size_mass_frequency,0.05,31,273838,13706,22992,522,0.022703549060542796,0.03808550999562235,0.45360385726257973,55363,1275,0.02302982136083666,0.09302495257551437,0.4601225902384933,22444699.0,1227700004.0,0.01828190838712419,6973.150000000001,1154392.5900000003,0.006040536001708049,0.4569069236398603,0.48677267222342746
posterior_damage_gated_burden,0.1,31,273838,27395,22992,11607,0.5048277661795407,0.42369045446249315,5.046213755615005,55363,17521,0.31647490201036793,0.6395692644643183,3.163455163961129,951154190.0,1227700004.0,0.7747447966938347,906382.7699999998,1154392.5900000003,0.7851598995450928,5.01984204871777,3.1253603893752904
risk_guarded_tail_burden,0.1,31,273838,27395,22992,11587,0.5039578983994433,0.4229603942325242,5.037518634126912,55363,17597,0.3178476599895237,0.6423434933382004,3.1771771314550534,946691531.0,1227700004.0,0.7711098215488806,906890.4699999999,1154392.5900000003,0.7855996979329186,5.011255753307653,3.1376730562855077
posterior_tail_burden,0.1,31,273838,27395,22992,11586,0.5039144050104384,0.42292389122102575,5.037083878052507,55363,17596,0.3178295973845348,0.6423069903267019,3.1769965792511856,946691531.0,1227700004.0,0.7711098215488806,906890.4699999999,1154392.5900000003,0.7855996979329186,5.01085768248425,3.1375566108658774
hierarchical_component_transition,0.1,31,273838,27395,22992,11585,0.5038709116214335,0.42288738820952726,5.036649121978102,55363,17279,0.3121037516030562,0.6307355356816937,3.1197615306252127,941670197.0,1227700004.0,0.7670197881664257,884705.5199999998,1154392.5900000003,0.7663818424198301,5.011531072622146,3.0828659913951055
component_phase_size_mass_rate,0.1,31,273838,27395,22992,11251,0.48934411969380653,0.41069538236904546,4.8914405931269425,55363,16880,0.3048967722124885,0.6161708340938128,3.0477212012821107,943314883.0,1227700004.0,0.7683594362845665,873193.9699999999,1154392.5900000003,0.7564098882512748,4.862323964985221,3.008318166262709
posterior_expected_burden,0.1,31,273838,27395,22992,11240,0.488865692414753,0.4102938492425625,4.886658276308491,55363,18450,0.3332550620450481,0.6734805621463771,3.331188161353966,928929181.0,1227700004.0,0.7566418326736439,905463.6499999999,1154392.5900000003,0.7843637059382023,4.863999482390175,3.2592663247385647
posterior_event_tail_burden,0.1,31,273838,27395,22992,10597,0.46089944328462074,0.38682241284906005,4.607110120466288,55363,18747,0.3386196557267489,0.6843219565614164,3.3848121659025905,921917750.0,1227700004.0,0.7509308031247672,896391.86,1154392.5900000003,0.7765052095492052,4.58702193359081,3.301756408871838
component_phase_size_mass_frequency,0.1,31,273838,27395,22992,887,0.038578636047320806,0.03237817119912393,0.38562863799694236,55363,2263,0.04087567508986146,0.08260631502098924,0.4085896373519797,34464260.0,1227700004.0,0.02807221624803383,9403.199999999999,1154392.5900000003,0.008145582431363317,0.3897955390564137,0.4421038676365002
