test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2000,all matched,component_transition_score,0.05,3228,404,162,89,0.2202970297029703,0.5493827160493827,0.1251548946716233,4.38962229556289,0.2189473910382957,4.356552599821475
2000,all matched,component_transition_score,0.1,3228,404,323,174,0.4306930693069307,0.5386996904024768,0.1251548946716233,4.304263862918799,0.43322081451953026,4.28169428847246
2000,low operations,component_transition_score,0.05,642,89,33,21,0.23595505617977527,0.6363636363636364,0.13862928348909656,4.590398365679265,0.23526236885190469,4.5975971185052105
2000,low operations,component_transition_score,0.1,642,89,65,37,0.4157303370786517,0.5692307692307692,0.13862928348909656,4.106136560069144,0.4144538359507109,4.1026995591764805
2000,medium operations,component_transition_score,0.05,957,117,48,22,0.18803418803418803,0.4583333333333333,0.12225705329153605,3.748931623931624,0.18720459697371658,3.743745811791392
2000,medium operations,component_transition_score,0.1,957,117,96,46,0.39316239316239315,0.4791666666666667,0.12225705329153605,3.919337606837607,0.391875489796887,3.9037264974733077
2000,high operations,component_transition_score,0.05,1629,198,82,51,0.25757575757575757,0.6219512195121951,0.12154696132596685,5.116962305986696,0.25759690535552443,5.111125328599782
2000,high operations,component_transition_score,0.1,1629,198,163,83,0.41919191919191917,0.50920245398773,0.12154696132596685,4.189347462353597,0.4194665108296236,4.174044109259903
2000,all matched,airport_operations_only,0.05,3228,404,162,12,0.0297029702970297,0.07407407407407407,0.1251548946716233,0.5918591859185918,0.026820576538228294,0.5897477583044303
2000,all matched,airport_operations_only,0.1,3228,404,323,23,0.05693069306930693,0.07120743034055728,0.1251548946716233,0.5689544186616804,0.05154779844862787,0.5669032358851936
2000,low operations,airport_operations_only,0.05,642,89,33,5,0.056179775280898875,0.15151515151515152,0.13862928348909656,1.0929519918283965,0.054580992756209874,1.0948692251859535
2000,low operations,airport_operations_only,0.1,642,89,65,7,0.07865168539325842,0.1076923076923077,0.13862928348909656,0.776836646499568,0.07644245778728877,0.7776826987783383
2000,medium operations,airport_operations_only,0.05,957,117,48,4,0.03418803418803419,0.08333333333333333,0.12225705329153605,0.6816239316239315,0.03304171989751828,0.6807230416191248
2000,medium operations,airport_operations_only,0.1,957,117,96,14,0.11965811965811966,0.14583333333333334,0.12225705329153605,1.1928418803418803,0.11575169072900271,1.1912441968640315
2000,high operations,airport_operations_only,0.05,1629,198,82,4,0.020202020202020204,0.04878048780487805,0.12154696132596685,0.40133037694013307,0.01918976184264446,0.40030517082570183
2000,high operations,airport_operations_only,0.1,1629,198,163,12,0.06060606060606061,0.0736196319018405,0.12154696132596685,0.6056887897378695,0.05767843188480153,0.6041094595417706
2001,all matched,component_transition_score,0.05,3061,343,154,85,0.2478134110787172,0.551948051948052,0.1120548840248285,4.925693839688009,0.24707110958412148,4.873301355271167
2001,all matched,component_transition_score,0.1,3061,343,307,152,0.44314868804664725,0.495114006514658,0.1120548840248285,4.418495550849469,0.4457579242292719,4.374930636444906
2001,low operations,component_transition_score,0.05,638,90,32,18,0.2,0.5625,0.14106583072100312,3.9875000000000003,0.20167017993988168,3.9898330884114843
2001,low operations,component_transition_score,0.1,638,90,64,35,0.3888888888888889,0.546875,0.14106583072100312,3.8767361111111116,0.39084185099391644,3.8748814532032845
2001,medium operations,component_transition_score,0.05,1023,111,52,28,0.25225225225225223,0.5384615384615384,0.10850439882697947,4.962577962577963,0.2510356695443884,4.9519383016540255
2001,medium operations,component_transition_score,0.1,1023,111,103,48,0.43243243243243246,0.46601941747572817,0.10850439882697947,4.294935712411441,0.4305612560671615,4.297071082808276
2001,high operations,component_transition_score,0.05,1400,142,70,40,0.28169014084507044,0.5714285714285714,0.10142857142857142,5.633802816901408,0.282345537162546,5.6197780420316406
2001,high operations,component_transition_score,0.1,1400,142,140,63,0.44366197183098594,0.45,0.10142857142857142,4.43661971830986,0.4450333284698897,4.4197942275622015
2001,all matched,airport_operations_only,0.05,3061,343,154,10,0.029154518950437316,0.06493506493506493,0.1120548840248285,0.5794933929044715,0.026065706083466724,0.5754947179705525
2001,all matched,airport_operations_only,0.1,3061,343,307,22,0.0641399416909621,0.07166123778501629,0.1120548840248285,0.6395190928861074,0.057609593391814436,0.6342288865261732
2001,low operations,airport_operations_only,0.05,638,90,32,2,0.022222222222222223,0.0625,0.14106583072100312,0.4430555555555556,0.02145964197061766,0.443739833621429
2001,low operations,airport_operations_only,0.1,638,90,64,5,0.05555555555555555,0.078125,0.14106583072100312,0.5538194444444445,0.053682552255064395,0.5541499375094234
2001,medium operations,airport_operations_only,0.05,1023,111,52,8,0.07207207207207207,0.15384615384615385,0.10850439882697947,1.4178794178794178,0.06966941275572658,1.417041093912387
2001,medium operations,airport_operations_only,0.1,1023,111,103,13,0.11711711711711711,0.1262135922330097,0.10850439882697947,1.1632117554447652,0.1133259807535585,1.1620427280165122
2001,high operations,airport_operations_only,0.05,1400,142,70,1,0.007042253521126761,0.014285714285714285,0.10142857142857142,0.14084507042253522,0.006651584140551594,0.14041799999097243
2001,high operations,airport_operations_only,0.1,1400,142,140,7,0.04929577464788732,0.05,0.10142857142857142,0.4929577464788733,0.046722537350584965,0.490970160260875
2002,all matched,component_transition_score,0.05,3350,375,168,105,0.28,0.625,0.11194029850746269,5.583333333333333,0.2790590525709189,5.567824452959847
2002,all matched,component_transition_score,0.1,3350,375,335,176,0.4693333333333333,0.5253731343283582,0.11194029850746269,4.693333333333333,0.4704395524447557,4.67730220089371
2002,low operations,component_transition_score,0.05,795,84,40,21,0.25,0.525,0.10566037735849057,4.96875,0.251128285717849,4.968982329334717
