ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20080123X00090,2008,SUBS,yes,engine,engine,departure,MEDIUM,1,bird; bird strike,engine,takeoff; departure; departed,bird,1,1,1,1,1,"d and the private-certificated pilot and two passengers were fatally injured. the time of departure from vnc was not determined. earlier that day, the flight departed pie and pr"
20080129X00116,2008,SUBS,yes,engine,engine,departure,UNKNOWN,1,elk,engine; ingest,departed,none,1,1,1,1,1,"91 without a flight plan. the pilot and his passenger were not injured. the local flight departed approximately 1510. according the pilot's statement, he was circling a herd of"
20080210X00160,2008,DEST,yes,engine,engine,departure,MEDIUM,1,bird,engine,departure; departed,bird,1,1,1,1,1,"on january 27, 2008, about 1630 central standard time, an amateur-built free bird sportlite 103, n75474, was destroyed during impact with terrain near mccullough, alabama. the non-"
20080227X00237,2008,SUBS,yes,engine,engine,departure,LARGE,2,goose,engine; nacelle,climb; departure; departed,goose,1,1,1,1,1,"the commercial pilot was presumed to be fatally injured. the 14 cfr part 91 ferry flight departed narsarsuaq airport (bgbw), near narsarsuaq, greenland, and was destined for reykj"
20080311X00297,2008,DEST,yes,engine,engine,departure,LARGE,2,bird; birds,engine,takeoff,large bird,1,1,1,1,1,"pc of oklahoma city, oklahoma, entered a steep descent and crashed about 2 minutes after takeoff from wiley post airport (pwa) in oklahoma city. none of the entities associated wi"
20080321X00349,2008,SUBS,yes,engine,engine,departure,MEDIUM,1,bird; birds,engine; ingest,climb; departure; departed,bird,1,1,1,1,1,"d airline transport pilot and three passengers were killed. the aerial observation flight departed okeechobee county airport (obe), okeechobee, florida, at 0802 and was operated un"
20080321X00356,2008,SUBS,yes,engine,engine,departure,MEDIUM,1,bird,engine,takeoff,bird,1,1,1,1,1,"that he did not observe any obstacles when he overflew the lake, but noted there was some bird activity in the vicinity. he performed a low altitude pass, approximately 100 feet a"
20080414X00465,2008,SUBS,yes,engine,engine,departure,LARGE,3,bird; birds,engine; fan blade; inlet,takeoff; initial climb; climb; departure,flock,1,1,1,1,1,"ier, inc. cl-600-2b16 business jet, n483ba, sustained substantial damage when it impacted birds during initial climb after takeoff from colorado springs municipal airport (cos), co"
20080416X00500,2008,SUBS,yes,engine,engine,departure,LARGE,1,bird; birds; geese,engine,departed,geese,1,1,1,1,1,"l 14, 2008, about 1038 mountain daylight time, an artic aircraft corporation s-1b2 single engine airplane, n73wy, collided with terrain while maneuvering at low altitude near rock"
20080417X00508,2008,SUBS,yes,engine,engine,arrival,LARGE,1,coyote,engine,landing; descent,coyote,1,1,1,1,1,"on april 11, 2008, about 0900 pacific daylight time, a bell 47g-3b-1, n24sd, made a hard landing on hilly terrain about 25 miles south of denio, nevada. following impact, the helic"
20080429X00561,2008,DEST,yes,engine,engine,departure,LARGE,1,deer,engine,takeoff; climb,deer,1,1,1,1,1,"interviewed in person. the following is a summary of their accounts. as the airplane was climbing to the jump altitude of 10,500 feet agl (above ground level), the stall warning h"
