rule,training_cell_count,records,damage_records,observed_rate,mean_predicted_rate,calibration_error,brier_score,log_loss
direct smoothed,1--10,13426,3079,0.2293311485178013,0.14114890496389554,0.08818224355390575,0.16100520996756265,0.7777398891488355
hierarchical fallback,1--10,13426,3079,0.2293311485178013,0.22499123646027003,0.004339912057531259,0.13427590828626773,0.4263753533284905
direct smoothed,11--50,31199,7022,0.2250713163883458,0.2037492582787708,0.021322058109574993,0.13132403141339047,0.40889892440371595
hierarchical fallback,11--50,31199,7022,0.2250713163883458,0.22917856112346296,0.0041072447351171715,0.1284503721797299,0.4045950063979693
direct smoothed,51--200,52787,7072,0.13397237956315003,0.14108650456734753,0.007114125004197502,0.08928886623232338,0.2985387692150476
hierarchical fallback,51--200,52787,7072,0.13397237956315003,0.145592444492667,0.011620064929516977,0.08936670284135849,0.2996931968540369
direct smoothed,>200,176426,5819,0.03298266695385034,0.036270341359930805,0.0032876744060804652,0.028311858288049874,0.118484199198469
hierarchical fallback,>200,176426,5819,0.03298266695385034,0.03559825435607042,0.0026155874022200792,0.028313802235571065,0.1187450177272208
direct smoothed,all,273838,22992,0.08396205055543789,0.08069881779905008,0.0032632327563878044,0.058308465944191964,0.21860308880625365
hierarchical fallback,all,273838,22992,0.08396205055543789,0.0881423332760756,0.00418028272063771,0.05668680943621026,0.2012762596070703
