test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2009,1686950.0,engine,departure,LARGE,4,True,True,53928000.0,0.0,Canada goose,KLGA,LA GUARDIA ARPT,A-320
2009,700640.0,engine,departure,LARGE,4,True,True,20972000.0,0.0,Bald eagle,KDEN,DENVER INTL AIRPORT,B-757-200
2017,1437885.0,engine,departure,LARGE,4,True,True,19665000.0,0.0,Turkey vulture,KSKF,KELLY FIELD AIRPORT,C-17
2005,670315.0,engine,departure,MEDIUM,4,True,True,15545664.0,96.0,Philippine duck,RPLB,SUBIC BAY INTL,A-310
2023,1625318.0,engine,departure,LARGE,4,True,True,15312000.0,0.0,Turkey vulture,MUHA,JOSE MARTI INTL ARPT,B-737-8
2023,1625318.0,radome,departure,LARGE,4,True,True,15312000.0,0.0,Turkey vulture,MUHA,JOSE MARTI INTL ARPT,B-737-8
2007,1643477.0,engine,departure,MEDIUM,4,True,True,14128506.0,288.0,Yellow-legged gull,LFMN,NICE COTE D'AZUR INTL ARPT,B-767-300
2021,1240152.0,engine,departure,LARGE,4,True,True,13106600.0,220.0,Canada goose,KORD,CHICAGO O'HARE INTL ARPT,A-319
2005,1437870.0,engine,departure,LARGE,4,True,True,12022582.0,184.0,Snow goose,KOMA,EPPLEY AIRFIELD,A-310
2005,671611.0,engine,departure,LARGE,4,True,True,10686000.0,336.0,New World vultures,MHTG,TONCONTIN INTL,B-737-300
1998,1374710.0,engine,departure,LARGE,4,True,True,9855000.0,15.0,Unknown bird - large,KAUS,AUSTIN-BERGSTROM INTL,B-727-200
2020,1093213.0,engine,departure,MEDIUM,4,True,True,9501492.0,51.0,Red-tailed hawk,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,A-321
2002,659947.0,wing_rotor,departure,LARGE,3,True,True,8925000.0,0.0,Wapiti (elk),KAST,ASTORIA REGIONAL,LEARJET-36
2014,1437840.0,engine,departure,MEDIUM,4,True,True,8820500.0,120.0,Red-tailed hawk,TJSJ,LUIS MUNOZ MARIN INTL,A-321
2022,1428241.0,engine,departure,LARGE,4,True,True,8444373.0,77.0,Great blue heron,KORD,CHICAGO O'HARE INTL ARPT,B-737-900
2011,719159.0,engine,departure,MEDIUM,4,True,True,8389700.0,85.0,Gadwall,KTUL,TULSA INTL,A-300
2021,1101690.0,engine,departure,LARGE,4,True,True,8309000.0,127.0,Turkey vulture,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,A-321
2024,1615621.0,engine,arrival,LARGE,4,True,True,8267098.0,120.0,Osprey,KDCA,RONALD REAGAN WASHINGTON NATIONAL ARPT,A-321
2015,1500186.0,engine,departure,MEDIUM,4,True,True,8006692.0,200.0,Northern pintail,KPDX,PORTLAND INTL (OR),B-757-200
2006,1086947.0,wing_rotor,arrival,LARGE,4,True,True,7965000.0,168.0,Canada goose,KMTN,MARTIN STATE ARPT,GULFSTREAM V
2011,1557619.0,radome,arrival,LARGE,3,True,True,7759470.0,1117.0,American white pelican,KLIT,BILL AND  HILLARY CLINTON NATL ARPT/ADAMS FIELD,CRJ100/200
2024,1622681.0,engine,departure,MEDIUM,4,True,True,7199955.0,48.0,Red-tailed hawk,KORD,CHICAGO O'HARE INTL ARPT,A-319
