test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos
1995,1084199.0,other,arrival,LARGE,1,1,1,0.0,0.0
1995,1503661.0,other,arrival,LARGE,1,1,1,0.0,0.0
1995,619136.0,other,arrival,LARGE,1,1,1,0.0,0.0
1995,621609.0,other,arrival,LARGE,1,1,1,73850.0,2160.0
1995,624104.0,other,arrival,LARGE,1,1,1,0.0,0.0
1995,634920.0,other,arrival,LARGE,1,1,1,0.0,0.0
1995,637668.0,other,arrival,LARGE,1,1,1,0.0,0.0
1995,616948.0,wing_rotor,arrival,LARGE,1,1,1,0.0,0.0
1995,620117.0,wing_rotor,arrival,LARGE,1,0,1,165.0,2.0
1995,621609.0,wing_rotor,arrival,LARGE,1,1,1,73850.0,2160.0
1995,621705.0,wing_rotor,arrival,LARGE,1,1,1,0.0,0.0
1995,621932.0,wing_rotor,arrival,LARGE,1,1,1,0.0,0.0
1995,637747.0,wing_rotor,arrival,LARGE,1,1,1,0.0,0.0
1995,1084140.0,other,arrival,LARGE,2,1,1,11765.0,360.0
1995,618707.0,other,arrival,LARGE,2,0,1,0.0,0.0
1995,1436999.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,613233.0,engine,departure,LARGE,4,0,1,0.0,0.0
1995,614543.0,engine,departure,LARGE,4,0,1,0.0,0.0
1995,614641.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,616167.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,616259.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,618874.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,620247.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,620745.0,engine,departure,LARGE,4,1,1,505944.0,44.0
1995,621706.0,engine,departure,LARGE,4,0,1,0.0,0.0
1995,621710.0,engine,departure,LARGE,4,1,1,0.0,0.0
1995,1503655.0,other,departure,LARGE,1,1,1,0.0,0.0
1995,613072.0,other,departure,LARGE,1,1,1,0.0,0.0
1995,618136.0,other,departure,LARGE,1,1,1,2110.0,0.0
1995,622992.0,other,departure,LARGE,1,1,1,0.0,0.0
1995,1448551.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,1482558.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,613462.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,613782.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,614057.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,620017.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,620026.0,wing_rotor,departure,LARGE,1,1,1,2110.0,168.0
1995,626908.0,wing_rotor,departure,LARGE,1,1,1,0.0,0.0
1995,1084140.0,wing_rotor,arrival,LARGE,2,1,1,11765.0,360.0
1995,615073.0,wing_rotor,arrival,LARGE,2,1,1,0.0,0.0
1995,616872.0,wing_rotor,arrival,LARGE,2,1,1,0.0,0.0
1995,617618.0,wing_rotor,arrival,LARGE,2,1,1,0.0,0.0
1995,617881.0,wing_rotor,arrival,LARGE,2,1,1,71740.0,312.0
1995,618277.0,wing_rotor,arrival,LARGE,2,1,1,26375.0,336.0
1995,623665.0,wing_rotor,arrival,LARGE,2,0,1,0.0,0.0
1995,636055.0,wing_rotor,arrival,LARGE,2,1,1,0.0,0.0
1995,1084540.0,lights,arrival,MEDIUM,4,1,1,0.0,0.0
1995,617814.0,lights,arrival,MEDIUM,4,1,1,0.0,0.0
