component,phase_bucket,size,aircraft_mass_class,added_component_units,unique_events,component_damage_units,unit_level_event_consequence,unique_event_consequence,associated_event_cost,event_dedup_cost_within_combo,associated_event_aos,event_dedup_aos_within_combo
engine,departure,MEDIUM,4,998,998,708,998,998,171935001.0,171935001.0,11296.55,11296.55
wing_rotor,arrival,LARGE,1,494,494,438,494,494,4655920.0,4655920.0,126180.75,126180.75
engine,departure,LARGE,4,508,508,413,508,508,304167209.0,304167209.0,12563.4,12563.4
wing_rotor,arrival,LARGE,4,351,351,268,351,351,19547381.0,19547381.0,7910.07,7910.07
wing_rotor,arrival,LARGE,3,301,301,246,301,301,15374479.0,15374479.0,25542.0,25542.0
wing_rotor,arrival,MEDIUM,1,313,313,241,313,313,2377960.0,2377960.0,25813.5,25813.5
wing_rotor,arrival,LARGE,2,262,262,227,262,262,18283848.0,18283848.0,56500.0,56500.0
engine,arrival,LARGE,4,319,319,212,319,319,50769136.0,50769136.0,5146.17,5146.17
wing_rotor,departure,LARGE,1,271,271,210,271,271,2727892.0,2727892.0,53779.8,53779.8
landing_gear,arrival,LARGE,1,227,227,165,227,227,3199605.0,3199605.0,80739.75,80739.75
wing_rotor,departure,LARGE,4,222,222,149,222,222,100214944.0,100214944.0,6606.95,6606.95
wing_rotor,enroute,LARGE,1,164,164,149,164,164,1607412.0,1607412.0,23230.5,23230.5
other,arrival,LARGE,1,162,162,146,162,162,957298.0,957298.0,29719.0,29719.0
lights,arrival,MEDIUM,4,134,134,131,134,134,347662.0,347662.0,245.0,245.0
wing_rotor,enroute,MEDIUM,1,159,159,119,159,159,1057183.0,1057183.0,14926.0,14926.0
radome,departure,LARGE,4,168,168,116,168,168,34324819.0,34324819.0,3779.5,3779.5
windshield,enroute,MEDIUM,2,227,227,104,227,227,3397511.0,3397511.0,10044.6,10044.6
wing_rotor,departure,LARGE,2,124,124,102,124,124,10463911.0,10463911.0,22188.5,22188.5
wing_rotor,departure,LARGE,3,131,131,94,131,131,18666820.0,18666820.0,9018.5,9018.5
wing_rotor,departure,MEDIUM,1,150,150,88,150,150,637061.0,637061.0,15325.0,15325.0
wing_rotor,arrival,UNKNOWN,1,104,104,84,104,104,56523.0,56523.0,219.6,219.6
engine,departure,UNKNOWN,4,126,126,73,126,126,370529.0,370529.0,701.75,701.75
windshield,enroute,LARGE,2,84,84,71,84,84,5664716.0,5664716.0,12973.5,12973.5
radome,arrival,LARGE,4,90,90,71,90,90,2923874.0,2923874.0,1152.59,1152.59
propeller,arrival,LARGE,2,97,97,68,97,97,15127008.0,15127008.0,30629.0,30629.0
windshield,enroute,MEDIUM,1,96,96,67,96,96,468912.0,468912.0,12162.0,12162.0
propeller,arrival,LARGE,1,129,129,64,129,129,2542392.0,2542392.0,36057.0,36057.0
other,arrival,LARGE,2,71,71,64,71,71,1253157.0,1253157.0,5814.0,5814.0
lights,arrival,SMALL,4,85,85,64,85,85,74455.0,74455.0,315.25,315.25
engine,departure,LARGE,3,90,90,63,90,90,16306401.0,16306401.0,5785.0,5785.0
fuselage,arrival,LARGE,1,100,100,60,100,100,1447970.0,1447970.0,33306.2,33306.2
engine,departure,MEDIUM,3,100,100,57,100,100,7209538.0,7209538.0,6786.0,6786.0
radome,arrival,LARGE,3,66,66,55,66,66,14433889.0,14433889.0,10814.0,10814.0
nose,arrival,LARGE,3,66,66,53,66,66,5463043.0,5463043.0,8915.0,8915.0
nose,arrival,LARGE,1,75,75,53,75,75,1159820.0,1159820.0,24013.0,24013.0
windshield,enroute,LARGE,1,63,63,53,63,63,433498.0,433498.0,10970.0,10970.0
tail,arrival,LARGE,1,66,66,49,66,66,612632.0,612632.0,20061.0,20061.0
other,departure,LARGE,1,61,61,48,61,61,760259.0,760259.0,12200.0,12200.0
