component,phase_bucket,size,aircraft_mass_class,added_records,part_damage_records,hard_event_records,cost,aos
engine,departure,LARGE,4,50,50,50,288014478.0,6274.8
engine,departure,MEDIUM,4,36,36,36,149811044.0,3164.0
engine,arrival,LARGE,4,17,17,17,40733035.0,812.0
propeller,arrival,LARGE,2,10,10,10,10133146.0,12092.0
radome,departure,LARGE,4,7,7,7,27648799.0,1567.0
engine,departure,LARGE,3,7,7,7,10127185.0,996.0
wing_rotor,arrival,LARGE,2,7,7,7,6947715.0,8298.0
wing_rotor,departure,LARGE,3,5,5,5,14155765.0,3320.0
engine,departure,MEDIUM,5,5,5,5,8289718.0,183.0
wing_rotor,departure,LARGE,4,4,4,4,11258836.0,825.0
radome,arrival,LARGE,3,4,4,4,11079590.0,1277.0
landing_gear,arrival,LARGE,2,4,4,4,4104472.0,3928.0
wing_rotor,departure,LARGE,2,3,3,3,6484298.0,2027.0
engine,departure,MEDIUM,3,3,3,3,3897480.0,3552.0
wing_rotor,arrival,LARGE,3,3,3,3,3774060.0,168.0
nose,arrival,LARGE,3,3,3,3,3602840.0,210.0
wing_rotor,arrival,LARGE,4,2,2,2,8683200.0,312.0
engine,departure,LARGE,2,2,2,2,5670750.0,269.0
windshield,enroute,LARGE,2,2,2,2,4569140.0,3600.0
engine,arrival,LARGE,2,2,2,2,2733850.0,1040.0
engine,arrival,LARGE,3,2,2,2,2422000.0,168.0
radome,arrival,LARGE,4,2,2,2,2348585.0,100.0
fuselage,arrival,LARGE,2,2,2,2,1781508.0,5808.0
tail,arrival,LARGE,3,2,2,2,1596420.0,2690.0
tail,departure,LARGE,4,1,1,1,7000000.0,413.0
other,arrival,LARGE,4,1,1,1,2073342.0,72.0
other,unknown,MEDIUM,4,1,1,1,1647753.0,37.54
nose,departure,LARGE,3,1,1,1,1119525.0,168.0
landing_gear,departure,LARGE,3,1,1,1,1119525.0,168.0
other,departure,LARGE,4,1,1,1,1094741.0,15.0
fuselage,arrival,LARGE,3,1,1,1,1071840.0,50.0
landing_gear,departure,LARGE,2,1,1,1,1022798.0,150.0
tail,arrival,MEDIUM,4,1,1,1,943500.0,0.0
wing_rotor,unknown,MEDIUM,4,1,1,1,881147.0,47.0
tail,arrival,LARGE,4,1,1,1,813600.0,20.0
other,arrival,LARGE,3,1,1,1,789120.0,0.0
wing_rotor,arrival,MEDIUM,1,1,1,1,708784.0,1440.0
lights,departure,SMALL,3,1,1,1,700000.0,192.0
windshield,enroute,MEDIUM,2,1,1,1,692948.0,48.0
lights,departure,MEDIUM,4,1,1,1,692550.0,120.0
